zone,loc,state,lat,lon
AECO,Atlanta City,NJ,39.3642,-74.4231
AEPAPT,American Electric Power,VA,41.7833,-86.3034
AEPIMP,American Electric Power,IN,40.5173,-85.4095
AEPKPT,American Electric Power,KY,38.2057,-82.6156
AEPOPT,American Electric Power,OH,38.9415,-81.9057
AP,Allegheny Power Systems,PA,41.1024,-79.6657
BC,Baltimore Gas & Electric,MD,39.2942,-76.6172
CE,Commonwealth Edison,IL,41.4995,-88.0401
DAY,Dayton Power & Light,OH,39.7680,-84.1717
DEOK,Duke Energy Ohio and Kentucky,OH,39.1074,-84.5066
DOM,Dominion,VA,37.6321,-77.4332
DPLCO,Delmarva Power & Light,DE,39.7632,-75.5614
DUQ,Duquesne Light Co ,PA,40.4429,-79.9964
EASTON,Delmarva Power & Light,MD,38.4087,-75.5705
EKPC,East Kentucky Power Cooperative,KY,40.2590,-76.8577
JC,Jersey Central,NJ,40.7832,-74.4499
ME,MetEd,PA,40.3344,-76.3971
OE,American Transmission Systems ,OH,41.0833,-81.5180
OVEC,Ohio Valley Electric Corporation,OH,39.0145,-83.0153
PAPWR,American Transmission Systems ,PA,40.4454,-80.0052
PE,PECO Energy ,PA,39.95597, -75.1887
PEPCO,Potomac Electric Power Company,MD,38.939,77.0065
PLCO,PPL Electric Utilities,PA,40.2591,-76.8578
PN,PennElec,PA,40.6737, -79.191
PS,Public Service Electric and Gas,NJ,40.8032,-74.0178
RECO,Orange & Rockland: Rockland Electric Company,NJ,41.1126,-74.0581
SMECO,Potomac Electric Power Company,MD,38.9912,-77.0257
UGI,PPL Electric Utilities,PA,40.2591,-76.8578
VMEU,Atlantic Electric,NJ,39.4158,-74.5327